2022-05-17 14:05:729 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 14:05:392 INFO  HomePage :54 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (766cbc1837a0a13b85ab595639333f89)] -> link text: Log in]
2022-05-17 14:05:425 INFO  LoginPage :49 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (766cbc1837a0a13b85ab595639333f89)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]<br>
2022-05-17 15:05:334 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 15:05:830 INFO  HomePage :54 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8ec0611fb98440ee2b4d1a59d813e76b)] -> link text: Log in]
2022-05-17 15:05:870 INFO  LoginPage :49 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (8ec0611fb98440ee2b4d1a59d813e76b)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]<br>
2022-05-17 15:05:624 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 15:05:799 INFO  HomePage :54 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7d2b3841a1ef48c4def60abd265e7b0a)] -> link text: Log in]
2022-05-17 15:05:881 INFO  LoginPage :55 - Enter email abcd123@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (7d2b3841a1ef48c4def60abd265e7b0a)] -> id: Email]<br>
2022-05-17 15:05:946 INFO  LoginPage :60 - Enter password xyz123 to password field [[ChromeDriver: chrome on WINDOWS (7d2b3841a1ef48c4def60abd265e7b0a)] -> name: Password]<br>
2022-05-17 15:05:950 INFO  LoginPage :65 - Clicking on Login Button <br>
2022-05-17 15:05:984 INFO  LoginPage :70 - Getting error message : [[ChromeDriver: chrome on WINDOWS (7d2b3841a1ef48c4def60abd265e7b0a)] -> xpath: //div[@class='message-error validation-summary-errors']]<br>
2022-05-17 15:05:662 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 15:05:34 INFO  HomePage :54 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a9eeeab7cf095cb232ff5de1075cf02f)] -> link text: Log in]
2022-05-17 15:05:108 INFO  LoginPage :55 - Enter email xyz123@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (a9eeeab7cf095cb232ff5de1075cf02f)] -> id: Email]<br>
2022-05-17 15:05:185 INFO  LoginPage :60 - Enter password abc123 to password field [[ChromeDriver: chrome on WINDOWS (a9eeeab7cf095cb232ff5de1075cf02f)] -> name: Password]<br>
2022-05-17 15:05:867 INFO  LoginPage :65 - Clicking on Login Button <br>
2022-05-17 15:05:896 INFO  LoginPage :70 - Getting error message : [[ChromeDriver: chrome on WINDOWS (a9eeeab7cf095cb232ff5de1075cf02f)] -> xpath: //div[@class='message-error validation-summary-errors']]<br>
2022-05-17 15:05:604 INFO  ManageDriver :32 - Launching Chrome Browser
